0.010000 0.002637 0.002833 
0.060000 0.003472 0.005154 
0.110000 0.004469 0.005676 
0.160000 0.005542 0.009257 
0.210000 0.006390 0.008880 
0.260000 0.013680 0.018231 
0.310000 0.021570 0.032851 
0.360000 0.039137 0.060069 
0.410000 0.216050 0.187107 
0.460000 0.007264 0.130070 
0.510000 0.001119 0.061156 
0.560000 0.000411 0.038709 
0.610000 0.000224 0.028950 
0.660000 0.000060 0.015261 
0.710000 0.000051 0.014179 
0.760000 0.000042 0.012857 
0.810000 0.000013 0.007202 
0.860000 0.000014 0.007376 
0.910000 0.000009 0.005843 
0.960000 0.000005 0.004644 
